"ID"	"SAC_Processing_Level_Abbreviation"	"Provider_Processing_Level_Abbreviation"	"Processing_Level_Name"	"Default_File_Format"	"Default_Projection"	"Default_Resampling_Algorithm"	"ID"	"SAC_Sensor_Abbreviation"	"Sensor_Abbreviation"
142	"L4B "	"NA"	"Thematic ordinal image derivatives as raster layer representing classes"	"TIF"	"UTM"	"CC"	7	"MSS"	"MSS-3"
143	"L4C"	"NA"	"Thematic ordinal image derivatives as vector layer representing classes"	"TIF"	"UTM"	"CC"	7	"MSS"	"MSS-3"
144	"L0A"	"RCC"	"Raw Computer Compatible Format. This is the raw format of data with no callibration parameters or definitive orbit information imbedded used to exchange data between ground receiving stations."	"RCC"	"ORBIT"	"NA"	8	"MSS"	"MSS-4"
145	"L0Ra"	"Level-0Ra"	"Imagery provided in acquisition strips with no Radiometric or Geometric corrections applied but containing Ancillary data to do the corrections. This is the archive processing level used by the USGS "	"CEOS"	"ORBIT"	"NA"	8	"MSS"	"MSS-4"
146	"L0Rp"	"Level-0Rp"	"Imagery provided in WRS scenes with no Radiometric or Geometric corrections applied but containing Ancillary data to do the corrections. This is the processing level used to exchange data to institutions that have a Landsat Product Generation System"	"CEOS"	"ORBIT"	"NA"	8	"MSS"	"MSS-4"
147	"L1A"	"L1R"	"Imagery provided in WRS scenes with systematic Radiometric  corrections applied but no systematic Geometric corrections applied containing Ancillary data to do the corrections. "	"CEOS"	"ORBIT"	"NA"	8	"MSS"	"MSS-4"
148	"L2Aa"	"L1G-NOM"	"Systematic Radio- and Geo-metric corrections applied. With poor positional accuracy due to the use of Predictive Ephemeris data and imagery orbit orientated."	"CEOS"	"UTM"	"MTF"	8	"MSS"	"MSS-4"
149	"L2Ab"	"L1G-NUP"	"Systematic Radio- and Geo-metric corrections applied. With poor positional accuracy due to the use of Predictive Ephemeris data and imagery North Up / Map orientated."	"CEOS"	"UTM"	"MTF"	8	"MSS"	"MSS-4"
150	"L2Ba"	"L1G-NOM"	"Systematic Radio- and Geo-metric corrections applied. With good positional accuracy due to the use of Definitive Ephemeris data and imagery orbit orientated."	"CEOS"	"UTM"	"MTF"	8	"MSS"	"MSS-4"
151	"L2Bb"	"L1G-NUP"	"Systematic Radio- and Geo-metric corrections applied. With poor good positional accuracy due to the use of Definitive Ephemeris data and imagery North Up / Map orientated."	"CEOS"	"UTM"	"MTF"	8	"MSS"	"MSS-4"
152	"L3Aa"	"L1T"	"Orthorectified imagery in 8Bit Digital Number (DN) values"	"TIF"	"UTM"	"CC"	8	"MSS"	"MSS-4"
153	"L3Ab"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000"	"TIF"	"UTM"	"CC"	8	"MSS"	"MSS-4"
154	"L3Ac"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Canopy / At Surface Reflectance scaled to 10 000 (this data is atmospherically corrected)"	"TIF"	"UTM"	"CC"	8	"MSS"	"MSS-4"
155	"L3At"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000 and radiometrically corrected for terrain  (shadow and sunny slopes) applying a topographic normalisation / solar correction"	"TIF"	"UTM"	"CC"	8	"MSS"	"MSS-4"
156	"L4Aa"	"NA"	"Thematic continuous ancillary data of relevance to an image "	"TIF"	"UTM"	"CC"	8	"MSS"	"MSS-4"
157	"L4Ab"	"NA"	"Thematic continuous image derivatives consisting of Bare or build-up indices"	"TIF"	"UTM"	"CC"	8	"MSS"	"MSS-4"
158	"L4Am"	"NA"	"Thematic continuous image derivatives consisting of Mathematical Transformations "	"TIF"	"UTM"	"CC"	8	"MSS"	"MSS-4"
159	"L4As"	"NA"	"Thematic continuous image derivatives consisting of Statistical calculations"	"TIF"	"UTM"	"CC"	8	"MSS"	"MSS-4"
160	"L4At"	"NA"	"Thematic continuous image derivatives consisting of Texture Parameters"	"TIF"	"UTM"	"CC"	8	"MSS"	"MSS-4"
161	"L4Av"	"NA"	"Thematic continuous image derivatives consisting of Vegetation Indices"	"TIF"	"UTM"	"CC"	8	"MSS"	"MSS-4"
162	"L4Aw"	"NA"	"Thematic continuous image derivatives consisting of Water and Moisture Indices "	"TIF"	"UTM"	"CC"	8	"MSS"	"MSS-4"
163	"L4Ax"	"NA"	"Thematic continuous image derivatives consisting of Time-Series or Metrics"	"TIF"	"UTM"	"CC"	8	"MSS"	"MSS-4"
164	"L4Af"	"NA"	"Thematic continuous image derivatives consisting of Spectral Rule Based Features including indices used for a Spectral Rule Based Classification"	"TIF"	"UTM"	"CC"	8	"MSS"	"MSS-4"
165	"L4Ad"	"NA"	"Thematic continuous image derivatives consisting of Digital Surface Models and DSM derived products"	"TIF"	"UTM"	"CC"	8	"MSS"	"MSS-4"
166	"L4Br"	"NA"	"Thematic ordinal image derivatives as raster layer consisting of L1 Spectral Rule Based Layers used in a classification "	"TIF"	"UTM"	"CC"	8	"MSS"	"MSS-4"
167	"L4Bc"	"NA"	"Thematic ordinal image derivatives as raster layer consisting of L2 Spectral Rule Based Layers used in a classification "	"TIF"	"UTM"	"CC"	8	"MSS"	"MSS-4"
168	"L4B "	"NA"	"Thematic ordinal image derivatives as raster layer representing classes"	"TIF"	"UTM"	"CC"	8	"MSS"	"MSS-4"
169	"L4C"	"NA"	"Thematic ordinal image derivatives as vector layer representing classes"	"TIF"	"UTM"	"CC"	8	"MSS"	"MSS-4"
170	"L0A"	"RCC"	"Raw Computer Compatible Format. This is the raw format of data with no callibration parameters or definitive orbit information imbedded used to exchange data between ground receiving stations."	"TIF"	"ORBIT"	"NA"	9	"MSS"	"MSS-5"
171	"L0Ra"	"Level-0Ra"	"Imagery provided in acquisition strips with no Radiometric or Geometric corrections applied but containing Ancillary data to do the corrections. This is the archive processing level used by the USGS "	"RCC"	"ORBIT"	"NA"	9	"MSS"	"MSS-5"
172	"L0Rp"	"Level-0Rp"	"Imagery provided in WRS scenes with no Radiometric or Geometric corrections applied but containing Ancillary data to do the corrections. This is the processing level used to exchange data to institutions that have a Landsat Product Generation System"	"CEOS"	"ORBIT"	"NA"	9	"MSS"	"MSS-5"
173	"L1A"	"L1R"	"Imagery provided in WRS scenes with systematic Radiometric  corrections applied but no systematic Geometric corrections applied containing Ancillary data to do the corrections. "	"CEOS"	"ORBIT"	"NA"	9	"MSS"	"MSS-5"
174	"L2Aa"	"L1G-NOM"	"Systematic Radio- and Geo-metric corrections applied. With poor positional accuracy due to the use of Predictive Ephemeris data and imagery orbit orientated."	"CEOS"	"UTM"	"MTF"	9	"MSS"	"MSS-5"
175	"L2Ab"	"L1G-NUP"	"Systematic Radio- and Geo-metric corrections applied. With poor positional accuracy due to the use of Predictive Ephemeris data and imagery North Up / Map orientated."	"CEOS"	"UTM"	"MTF"	9	"MSS"	"MSS-5"
176	"L2Ba"	"L1G-NOM"	"Systematic Radio- and Geo-metric corrections applied. With good positional accuracy due to the use of Definitive Ephemeris data and imagery orbit orientated."	"CEOS"	"UTM"	"MTF"	9	"MSS"	"MSS-5"
177	"L2Bb"	"L1G-NUP"	"Systematic Radio- and Geo-metric corrections applied. With poor good positional accuracy due to the use of Definitive Ephemeris data and imagery North Up / Map orientated."	"CEOS"	"UTM"	"MTF"	9	"MSS"	"MSS-5"
178	"L3Aa"	"L1T"	"Orthorectified imagery in 8Bit Digital Number (DN) values"	"TIF"	"UTM"	"CC"	9	"MSS"	"MSS-5"
179	"L3Ab"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000"	"TIF"	"UTM"	"CC"	9	"MSS"	"MSS-5"
180	"L3Ac"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Canopy / At Surface Reflectance scaled to 10 000 (this data is atmospherically corrected)"	"TIF"	"UTM"	"CC"	9	"MSS"	"MSS-5"
181	"L3At"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000 and radiometrically corrected for terrain  (shadow and sunny slopes) applying a topographic normalisation / solar correction"	"TIF"	"UTM"	"CC"	9	"MSS"	"MSS-5"
182	"L4Aa"	"NA"	"Thematic continuous ancillary data of relevance to an image "	"TIF"	"UTM"	"CC"	9	"MSS"	"MSS-5"
183	"L4Ab"	"NA"	"Thematic continuous image derivatives consisting of Bare or build-up indices"	"TIF"	"UTM"	"CC"	9	"MSS"	"MSS-5"
184	"L4Am"	"NA"	"Thematic continuous image derivatives consisting of Mathematical Transformations "	"TIF"	"UTM"	"CC"	9	"MSS"	"MSS-5"
185	"L4As"	"NA"	"Thematic continuous image derivatives consisting of Statistical calculations"	"TIF"	"UTM"	"CC"	9	"MSS"	"MSS-5"
186	"L4At"	"NA"	"Thematic continuous image derivatives consisting of Texture Parameters"	"TIF"	"UTM"	"CC"	9	"MSS"	"MSS-5"
187	"L4Av"	"NA"	"Thematic continuous image derivatives consisting of Vegetation Indices"	"TIF"	"UTM"	"CC"	9	"MSS"	"MSS-5"
188	"L4Aw"	"NA"	"Thematic continuous image derivatives consisting of Water and Moisture Indices "	"TIF"	"UTM"	"CC"	9	"MSS"	"MSS-5"
189	"L4Ax"	"NA"	"Thematic continuous image derivatives consisting of Time-Series or Metrics"	"TIF"	"UTM"	"CC"	9	"MSS"	"MSS-5"
190	"L4Af"	"NA"	"Thematic continuous image derivatives consisting of Spectral Rule Based Features including indices used for a Spectral Rule Based Classification"	"TIF"	"UTM"	"CC"	9	"MSS"	"MSS-5"
191	"L4Ad"	"NA"	"Thematic continuous image derivatives consisting of Digital Surface Models and DSM derived products"	"TIF"	"UTM"	"CC"	9	"MSS"	"MSS-5"
192	"L4Br"	"NA"	"Thematic ordinal image derivatives as raster layer consisting of L1 Spectral Rule Based Layers used in a classification "	"TIF"	"UTM"	"CC"	9	"MSS"	"MSS-5"
193	"L4Bc"	"NA"	"Thematic ordinal image derivatives as raster layer consisting of L2 Spectral Rule Based Layers used in a classification "	"TIF"	"UTM"	"CC"	9	"MSS"	"MSS-5"
194	"L4B "	"NA"	"Thematic ordinal image derivatives as raster layer representing classes"	"TIF"	"UTM"	"CC"	9	"MSS"	"MSS-5"
195	"L4C"	"NA"	"Thematic ordinal image derivatives as vector layer representing classes"	"TIF"	"UTM"	"CC"	9	"MSS"	"MSS-5"
196	"L0A"	"RCC"	"Raw Computer Compatible Format. This is the raw format of data with no callibration parameters or definitive orbit information imbedded used to exchange data between ground receiving stations."	"RCC"	"ORBIT"	"NA"	10	"ETM"	"ETM+"
197	"L0Ra"	"Level-0Ra"	"Imagery provided in acquisition strips with no Radiometric or Geometric corrections applied but containing Ancillary data to do the corrections. This is the archive processing level used by the USGS "	"HDF"	"ORBIT"	"NA"	10	"ETM"	"ETM+"
198	"L0Rp"	"Level-0Rp"	"Imagery provided in WRS scenes with no Radiometric or Geometric corrections applied but containing Ancillary data to do the corrections. This is the processing level used to exchange data to institutions that have a Landsat Product Generation System"	"HDF"	"ORBIT"	"NA"	10	"ETM"	"ETM+"
199	"L1A"	"L1R"	"Imagery provided in WRS scenes with systematic Radiometric  corrections applied but no systematic Geometric corrections applied containing Ancillary data to do the corrections. "	"HDF"	"ORBIT"	"NA"	10	"ETM"	"ETM+"
200	"L2Aa"	"L1G-NOM"	"Systematic Radio- and Geo-metric corrections applied. With poor positional accuracy due to the use of Predictive Ephemeris data and imagery orbit orientated."	"FAST"	"UTM"	"MTF"	10	"ETM"	"ETM+"
201	"L2Ab"	"L1G-NUP"	"Systematic Radio- and Geo-metric corrections applied. With poor positional accuracy due to the use of Predictive Ephemeris data and imagery North Up / Map orientated."	"FAST"	"UTM"	"MTF"	10	"ETM"	"ETM+"
202	"L2Ba"	"L1G-NOM"	"Systematic Radio- and Geo-metric corrections applied. With good positional accuracy due to the use of Definitive Ephemeris data and imagery orbit orientated."	"FAST"	"UTM"	"MTF"	10	"ETM"	"ETM+"
203	"L2Bb"	"L1G-NUP"	"Systematic Radio- and Geo-metric corrections applied. With poor good positional accuracy due to the use of Definitive Ephemeris data and imagery North Up / Map orientated."	"FAST"	"UTM"	"MTF"	10	"ETM"	"ETM+"
204	"L3Aa"	"L1T"	"Orthorectified imagery in 8Bit Digital Number (DN) values"	"TIF"	"UTM"	"CC"	10	"ETM"	"ETM+"
205	"L3Ab"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000"	"TIF"	"UTM"	"CC"	10	"ETM"	"ETM+"
206	"L3Ac"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Canopy / At Surface Reflectance scaled to 10 000 (this data is atmospherically corrected)"	"TIF"	"UTM"	"CC"	10	"ETM"	"ETM+"
207	"L3At"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000 and radiometrically corrected for terrain  (shadow and sunny slopes) applying a topographic normalisation / solar correction"	"TIF"	"UTM"	"CC"	10	"ETM"	"ETM+"
208	"L4Aa"	"NA"	"Thematic continuous ancillary data of relevance to an image "	"TIF"	"UTM"	"CC"	10	"ETM"	"ETM+"
209	"L4Ab"	"NA"	"Thematic continuous image derivatives consisting of Bare or build-up indices"	"TIF"	"UTM"	"CC"	10	"ETM"	"ETM+"
210	"L4Am"	"NA"	"Thematic continuous image derivatives consisting of Mathematical Transformations "	"TIF"	"UTM"	"CC"	10	"ETM"	"ETM+"
211	"L4As"	"NA"	"Thematic continuous image derivatives consisting of Statistical calculations"	"TIF"	"UTM"	"CC"	10	"ETM"	"ETM+"
212	"L4At"	"NA"	"Thematic continuous image derivatives consisting of Texture Parameters"	"TIF"	"UTM"	"CC"	10	"ETM"	"ETM+"
213	"L4Av"	"NA"	"Thematic continuous image derivatives consisting of Vegetation Indices"	"TIF"	"UTM"	"CC"	10	"ETM"	"ETM+"
214	"L4Aw"	"NA"	"Thematic continuous image derivatives consisting of Water and Moisture Indices "	"TIF"	"UTM"	"CC"	10	"ETM"	"ETM+"
215	"L4Ax"	"NA"	"Thematic continuous image derivatives consisting of Time-Series or Metrics"	"TIF"	"UTM"	"CC"	10	"ETM"	"ETM+"
216	"L4Af"	"NA"	"Thematic continuous image derivatives consisting of Spectral Rule Based Features including indices used for a Spectral Rule Based Classification"	"TIF"	"UTM"	"CC"	10	"ETM"	"ETM+"
217	"L4Ad"	"NA"	"Thematic continuous image derivatives consisting of Digital Surface Models and DSM derived products"	"TIF"	"UTM"	"CC"	10	"ETM"	"ETM+"
218	"L4Br"	"NA"	"Thematic ordinal image derivatives as raster layer consisting of L1 Spectral Rule Based Layers used in a classification "	"TIF"	"UTM"	"CC"	10	"ETM"	"ETM+"
219	"L4Bc"	"NA"	"Thematic ordinal image derivatives as raster layer consisting of L2 Spectral Rule Based Layers used in a classification "	"TIF"	"UTM"	"CC"	10	"ETM"	"ETM+"
220	"L4B "	"NA"	"Thematic ordinal image derivatives as raster layer representing classes"	"TIF"	"UTM"	"CC"	10	"ETM"	"ETM+"
221	"L4C"	"NA"	"Thematic ordinal image derivatives as vector layer representing classes"	"TIF"	"UTM"	"CC"	10	"ETM"	"ETM+"
222	"L0"	"Level-0"	"Raw instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"CAP-T"	"ORBIT"	"NA"	11	"HRV"	"HRV-1"
223	"L1A"	"Level-1A"	"Radiometric correction of distortions due to differences in sensitivity of the elementary detectors of the viewing instrument.Intended for users who wish to do their own geometric image processing. (Source Astrium GEO)"	"CAP-T"	"ORBIT"	"NA"	11	"HRV"	"HRV-1"
224	"L1B"	"Level-1B"	"Radiometric correction identical to that of level 1A. Geometric correction of systematic effects (panoramic effect, Earth curvature and rotation). Internal distortions of the image are corrected for measuring distances, angles and surface areas. Specially designed product for photo-interpreting and thematic studies.  (Source Astrium GEO)"	"CAP-T"	"ORBIT"	"CC"	11	"HRV"	"HRV-1"
225	"L2A"	"Level-2A"	"Radiometric correction identical to that of level 1A. Geometrical correction done in a standard cartographic projection (UTM WGS84 by default) not tied to ground control points. Allowing for possible differences in location, this product is used to combine the image with geographical information of various types (vectors, raster maps and other satellite images)."	"CAP-T"	"UTM"	"CC"	11	"HRV"	"HRV-1"
226	"L2B"	"Level-2B"	"This product comes in a map projection with ground control points taken on maps or from GPS type measurements taken in the field. The image is corrected for a mean elevation in a projection and a standard map frame. This product is used when deformations due to relief are not that important (flat ground, etc.).(Source Astrium GEO)"	"CAP-T"	"UTM"	"CC"	11	"HRV"	"HRV-1"
227	"L3Aa"	"Level-3A"	"Map projection based on ground control points and a DEM to eliminate distortions due to relief. This product is orthorectified but pixel values are given in 8 Bit digital numbers (DN)"	"TIF"	"UTM"	"CC"	11	"HRV"	"HRV-1"
228	"L3Ab"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000"	"TIF"	"UTM"	"CC"	11	"HRV"	"HRV-1"
229	"L3Ac"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Canopy / At Surface Reflectance scaled to 10 000 (this data is atmospherically corrected)"	"TIF"	"UTM"	"CC"	11	"HRV"	"HRV-1"
230	"L3Ad"	"NA"	"Orthorectified imagery in 8Bit Digital Number (DN) values. This is a three band true colour product with a reconstructed blue and green band."	"TIF"	"UTM"	"CC"	11	"HRV"	"HRV-1"
231	"L3Ba"	"NA"	"Mosaic of orthorectified images"	"TIF"	"UTM"	"CC"	11	"HRV"	"HRV-1"
232	"L3Bb"	"NA"	"Mosaic of orthorectified images in ¼ degree tiles"	"TIF"	"UTM"	"CC"	11	"HRV"	"HRV-1"
233	"L0"	"Level-0"	"Raw instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"CAP-T"	"ORBIT"	"NA"	12	"HRV"	"HRV-2"
234	"L1A"	"Level-1A"	"Radiometric correction of distortions due to differences in sensitivity of the elementary detectors of the viewing instrument.Intended for users who wish to do their own geometric image processing. (Source Astrium GEO)"	"CAP-T"	"ORBIT"	"NA"	12	"HRV"	"HRV-2"
235	"L1B"	"Level-1B"	"Radiometric correction identical to that of level 1A. Geometric correction of systematic effects (panoramic effect, Earth curvature and rotation). Internal distortions of the image are corrected for measuring distances, angles and surface areas. Specially designed product for photo-interpreting and thematic studies.  (Source Astrium GEO)"	"CAP-T"	"ORBIT"	"CC"	12	"HRV"	"HRV-2"
236	"L2A"	"Level-2A"	"Radiometric correction identical to that of level 1A. Geometrical correction done in a standard cartographic projection (UTM WGS84 by default) not tied to ground control points. Allowing for possible differences in location, this product is used to combine the image with geographical information of various types (vectors, raster maps and other satellite images)."	"CAP-T"	"UTM"	"CC"	12	"HRV"	"HRV-2"
237	"L2B"	"Level-2B"	"This product comes in a map projection with ground control points taken on maps or from GPS type measurements taken in the field. The image is corrected for a mean elevation in a projection and a standard map frame. This product is used when deformations due to relief are not that important (flat ground, etc.).(Source Astrium GEO)"	"CAP-T"	"UTM"	"CC"	12	"HRV"	"HRV-2"
238	"L3Aa"	"Level-3A"	"Map projection based on ground control points and a DEM to eliminate distortions due to relief. This product is orthorectified but pixel values are given in 8 Bit digital numbers (DN)"	"TIF"	"UTM"	"CC"	12	"HRV"	"HRV-2"
239	"L3Ab"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000"	"TIF"	"UTM"	"CC"	12	"HRV"	"HRV-2"
240	"L3Ac"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Canopy / At Surface Reflectance scaled to 10 000 (this data is atmospherically corrected)"	"TIF"	"UTM"	"CC"	12	"HRV"	"HRV-2"
241	"L3Ad"	"NA"	"Orthorectified imagery in 8Bit Digital Number (DN) values. This is a three band true colour product with a reconstructed blue and green band."	"TIF"	"UTM"	"CC"	12	"HRV"	"HRV-2"
242	"L3Ba"	"NA"	"Mosaic of orthorectified images"	"TIF"	"UTM"	"CC"	12	"HRV"	"HRV-2"
243	"L3Bb"	"NA"	"Mosaic of orthorectified images in ¼ degree tiles"	"TIF"	"UTM"	"CC"	12	"HRV"	"HRV-2"
244	"L0"	"Level-0"	"Raw instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"CAP-T"	"ORBIT"	"NA"	13	"HRV"	"HRV-3"
245	"L1A"	"Level-1A"	"Radiometric correction of distortions due to differences in sensitivity of the elementary detectors of the viewing instrument.Intended for users who wish to do their own geometric image processing. (Source Astrium GEO)"	"CAP-T"	"ORBIT"	"NA"	13	"HRV"	"HRV-3"
246	"L1B"	"Level-1B"	"Radiometric correction identical to that of level 1A. Geometric correction of systematic effects (panoramic effect, Earth curvature and rotation). Internal distortions of the image are corrected for measuring distances, angles and surface areas. Specially designed product for photo-interpreting and thematic studies.  (Source Astrium GEO)"	"CAP-T"	"ORBIT"	"CC"	13	"HRV"	"HRV-3"
247	"L2A"	"Level-2A"	"Radiometric correction identical to that of level 1A. Geometrical correction done in a standard cartographic projection (UTM WGS84 by default) not tied to ground control points. Allowing for possible differences in location, this product is used to combine the image with geographical information of various types (vectors, raster maps and other satellite images)."	"CAP-T"	"UTM"	"CC"	13	"HRV"	"HRV-3"
248	"L2B"	"Level-2B"	"This product comes in a map projection with ground control points taken on maps or from GPS type measurements taken in the field. The image is corrected for a mean elevation in a projection and a standard map frame. This product is used when deformations due to relief are not that important (flat ground, etc.).(Source Astrium GEO)"	"CAP-T"	"UTM"	"CC"	13	"HRV"	"HRV-3"
249	"L3Aa"	"Level-3A"	"Map projection based on ground control points and a DEM to eliminate distortions due to relief. This product is orthorectified but pixel values are given in 8 Bit digital numbers (DN)"	"TIF"	"UTM"	"CC"	13	"HRV"	"HRV-3"
250	"L3Ab"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000"	"TIF"	"UTM"	"CC"	13	"HRV"	"HRV-3"
251	"L3Ac"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Canopy / At Surface Reflectance scaled to 10 000 (this data is atmospherically corrected)"	"TIF"	"UTM"	"CC"	13	"HRV"	"HRV-3"
252	"L3Ad"	"NA"	"Orthorectified imagery in 8Bit Digital Number (DN) values. This is a three band true colour product with a reconstructed blue and green band."	"TIF"	"UTM"	"CC"	13	"HRV"	"HRV-3"
253	"L3Ba"	"NA"	"Mosaic of orthorectified images"	"TIF"	"UTM"	"CC"	13	"HRV"	"HRV-3"
254	"L3Bb"	"NA"	"Mosaic of orthorectified images in ¼ degree tiles"	"TIF"	"UTM"	"CC"	13	"HRV"	"HRV-3"
255	"L0"	"Level-0"	"Raw instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"DIMAP"	"ORBIT"	"NA"	14	"HIR"	"HRVIR-4"
256	"L1A"	"Level-1A"	"Radiometric correction of distortions due to differences in sensitivity of the elementary detectors of the viewing instrument.Intended for users who wish to do their own geometric image processing. (Source Astrium GEO)"	"DIMAP"	"ORBIT"	"NA"	14	"HIR"	"HRVIR-4"
257	"L1B"	"Level-1B"	"Radiometric correction identical to that of level 1A. Geometric correction of systematic effects (panoramic effect, Earth curvature and rotation). Internal distortions of the image are corrected for measuring distances, angles and surface areas. Specially designed product for photo-interpreting and thematic studies.  (Source Astrium GEO)"	"DIMAP"	"ORBIT"	"CC"	14	"HIR"	"HRVIR-4"
258	"L2A"	"Level-2A"	"Radiometric correction identical to that of level 1A. Geometrical correction done in a standard cartographic projection (UTM WGS84 by default) not tied to ground control points. Allowing for possible differences in location, this product is used to combine the image with geographical information of various types (vectors, raster maps and other satellite images)."	"DIMAP"	"UTM"	"CC"	14	"HIR"	"HRVIR-4"
259	"L2B"	"Level-2B"	"This product comes in a map projection with ground control points taken on maps or from GPS type measurements taken in the field. The image is corrected for a mean elevation in a projection and a standard map frame. This product is used when deformations due to relief are not that important (flat ground, etc.).(Source Astrium GEO)"	"DIMAP"	"UTM"	"CC"	14	"HIR"	"HRVIR-4"
260	"L3Aa"	"Level-3A"	"Map projection based on ground control points and a DEM to eliminate distortions due to relief. This product is orthorectified but pixel values are given in 8 Bit digital numbers (DN)"	"DIMAP"	"UTM"	"CC"	14	"HIR"	"HRVIR-4"
261	"L3Ab"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000"	"DIMAP"	"UTM"	"CC"	14	"HIR"	"HRVIR-4"
262	"L3Ac"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Canopy / At Surface Reflectance scaled to 10 000 (this data is atmospherically corrected)"	"DIMAP"	"UTM"	"CC"	14	"HIR"	"HRVIR-4"
263	"L3Ad"	"NA"	"Orthorectified imagery in 8Bit Digital Number (DN) values. This is a three band true colour product with a reconstructed blue and green band."	"DIMAP"	"UTM"	"CC"	14	"HIR"	"HRVIR-4"
264	"L3Ba"	"NA"	"Mosaic of orthorectified images"	"DIMAP"	"UTM"	"CC"	14	"HIR"	"HRVIR-4"
265	"L3Bb"	"NA"	"Mosaic of orthorectified images in ¼ degree tiles"	"DIMAP"	"UTM"	"CC"	14	"HIR"	"HRVIR-4"
266	"L1P"	"VGT-P"	"Ideal system corrected data in Orbit segment"	"HDF"	"ORBIT"	"NA"	15	"VMI"	"Vegetation-4"
267	"L3DS"	"VGT-DS"	"Daily Synthesis in Geographic Zone"	"HDF"	"PC"	"MTF"	15	"VMI"	"Vegetation-4"
268	"L3PS"	"VGT-PS"	"Period synthesis in Geographic Zone"	"HDF"	"PC"	"MTF"	15	"VMI"	"Vegetation-4"
269	"L3P4"	"VGT-PS4"	"Degraded resolution 4km in Geographical Zone"	"HDF"	"PC"	"MTF"	15	"VMI"	"Vegetation-4"
270	"L3P8"	"VGT-PS8"	"Degraded resolution 4km in Geographical Zone"	"HDF"	"PC"	"MTF"	15	"VMI"	"Vegetation-4"
271	"L0"	"Level-0"	"Raw instrument data with no corrections applied. This data is useless to most remote sensing practicioners."	"DIMAP"	"ORBIT"	"NA"	16	"HRG"	"HRG-5"
272	"L1A"	"Level-1A"	"Radiometric correction of distortions due to differences in sensitivity of the elementary detectors of the viewing instrument.Intended for users who wish to do their own geometric image processing. (Source Astrium GEO)"	"DIMAP"	"ORBIT"	"NA"	16	"HRG"	"HRG-5"
273	"L1B"	"Level-1B"	"Radiometric correction identical to that of level 1A. Geometric correction of systematic effects (panoramic effect, Earth curvature and rotation). Internal distortions of the image are corrected for measuring distances, angles and surface areas. Specially designed product for photo-interpreting and thematic studies.  (Source Astrium GEO)"	"DIMAP"	"ORBIT"	"CC"	16	"HRG"	"HRG-5"
274	"L2A"	"Level-2A"	"Radiometric correction identical to that of level 1A. Geometrical correction done in a standard cartographic projection (UTM WGS84 by default) not tied to ground control points. Allowing for possible differences in location, this product is used to combine the image with geographical information of various types (vectors, raster maps and other satellite images)."	"DIMAP"	"UTM"	"CC"	16	"HRG"	"HRG-5"
275	"L2B"	"Level-2B"	"This product comes in a map projection with ground control points taken on maps or from GPS type measurements taken in the field. The image is corrected for a mean elevation in a projection and a standard map frame. This product is used when deformations due to relief are not that important (flat ground, etc.).(Source Astrium GEO)"	"DIMAP"	"UTM"	"CC"	16	"HRG"	"HRG-5"
276	"L3Aa"	"Level-3A"	"Map projection based on ground control points and a DEM to eliminate distortions due to relief. This product is orthorectified but pixel values are given in 8 Bit digital numbers (DN)"	"DIMAP"	"UTM"	"CC"	16	"HRG"	"HRG-5"
277	"L3Ab"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000"	"DIMAP"	"UTM"	"CC"	16	"HRG"	"HRG-5"
278	"L3Ac"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Canopy / At Surface Reflectance scaled to 10 000 (this data is atmospherically corrected)"	"DIMAP"	"UTM"	"CC"	16	"HRG"	"HRG-5"
